                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0224,                 1.1679,                 1.5029,                0.79162,                0.61159,                0.72575,                0.52567,                 1.1585,                 1.2227,                 1.7081,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.0165,                 1.1409,                 1.5006,                0.76536,                0.63768,                0.72884,                0.53533,                 1.1369,                 1.2101,                  1.686,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0124,                 1.1175,                 1.5053,                0.75206,                0.59347,                0.70656,                0.50111,                 1.1594,                 1.3051,                  1.723,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0274,                 1.1298,                 1.5021,                0.77942,                0.64058,                0.73406,                0.52674,                 1.1368,                 1.1965,                 1.6846,              0.0016535,              0.0016535,              0.0016535
                     38,                0.99744,                 1.1047,                  1.473,                0.79071,                0.64348,                0.74727,                0.53194,                  1.137,                 1.1779,                 1.7118,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.0211,                 1.1201,                 1.5041,                0.84542,                0.62029,                 0.7539,                0.53715,                 1.1546,                 1.1154,                 1.7132,              0.0016337,              0.0016337,              0.0016337
                     40,                0.98671,                  1.085,                 1.4781,                0.84931,                0.63715,                0.76028,                0.55192,                  1.119,                 1.1185,                  1.642,              0.0016238,              0.0016238,              0.0016238
                     41,                0.99744,                  1.087,                 1.4769,                0.76429,                0.63623,                0.72759,                0.53009,                  1.127,                 1.1999,                 1.6909,              0.0016139,              0.0016139,              0.0016139
                     42,                0.98228,                 1.0696,                 1.4624,                0.81638,                0.64493,                0.74888,                0.54013,                 1.1316,                 1.1631,                 1.6481,               0.001604,               0.001604,               0.001604
                     43,                0.97607,                 1.0625,                 1.4644,                0.80138,                0.65072,                0.75943,                0.55014,                 1.0959,                 1.1202,                 1.6156,              0.0015941,              0.0015941,              0.0015941
                     44,                0.97295,                   1.07,                 1.4615,                0.84073,                0.63478,                0.75982,                0.54076,                 1.1305,                 1.1372,                 1.6874,              0.0015842,              0.0015842,              0.0015842
                     45,                 0.9755,                 1.0554,                 1.4631,                0.80958,                0.65932,                0.76459,                0.55849,                 1.0711,                 1.1203,                 1.6046,              0.0015743,              0.0015743,              0.0015743
                     46,                0.97461,                  1.071,                 1.4555,                 0.8425,                0.63571,                0.76717,                0.56578,                 1.0802,                 1.0831,                 1.6339,              0.0015644,              0.0015644,              0.0015644
                     47,                0.97212,                 1.0506,                 1.4471,                 0.8954,                0.64058,                0.77195,                0.55564,                 1.1161,                 1.0891,                 1.6395,              0.0015545,              0.0015545,              0.0015545
                     48,                0.97738,                 1.0307,                  1.451,                0.80739,                0.67101,                 0.7774,                0.55953,                    1.1,                 1.0746,                 1.6308,              0.0015446,              0.0015446,              0.0015446
                     49,                0.95976,                 1.0383,                 1.4457,                0.79934,                0.68696,                0.77741,                 0.5618,                  1.084,                 1.0837,                 1.6119,              0.0015347,              0.0015347,              0.0015347
                     50,                0.95561,                 1.0312,                 1.4487,                0.84525,                0.64928,                0.77737,                0.56559,                 1.0712,                  1.077,                 1.6072,              0.0015248,              0.0015248,              0.0015248
                     51,                0.94607,                 1.0116,                 1.4343,                 0.8323,                0.66957,                0.77249,                 0.5627,                 1.0822,                 1.0705,                 1.6174,              0.0015149,              0.0015149,              0.0015149
                     52,                0.93644,                0.98629,                 1.4275,                0.81724,                0.68551,                0.79077,                 0.5769,                 1.0673,                 1.0263,                  1.598,               0.001505,               0.001505,               0.001505
                     53,                 0.9386,                 1.0191,                 1.4245,                0.82242,                0.66522,                0.77023,                0.57295,                 1.0499,                 1.0404,                 1.5878,              0.0014951,              0.0014951,              0.0014951
                     54,                0.92654,                0.98695,                  1.419,                0.84326,                0.67055,                0.80157,                0.58363,                 1.0849,                 1.0025,                 1.5907,              0.0014852,              0.0014852,              0.0014852
                     55,                0.92963,                0.99933,                  1.419,                0.80191,                0.70989,                 0.8058,                0.59419,                 1.0568,                0.99103,                 1.5743,              0.0014753,              0.0014753,              0.0014753
                     56,                0.93374,                0.96983,                 1.4215,                0.85369,                0.65111,                0.77282,                0.56816,                 1.0747,                 1.0627,                 1.6129,              0.0014654,              0.0014654,              0.0014654
                     57,                0.91944,                0.97851,                  1.413,                0.84423,                0.66765,                 0.7897,                0.57419,                 1.0797,                 1.0301,                 1.6058,              0.0014555,              0.0014555,              0.0014555
                     58,                0.92011,                0.95379,                 1.4055,                 0.8076,                0.71594,                0.79558,                0.58125,                 1.0467,                 1.0066,                 1.5706,              0.0014456,              0.0014456,              0.0014456
                     59,                0.90919,                0.95565,                 1.4055,                0.81813,                0.69565,                0.80123,                0.59111,                 1.0402,                 0.9815,                 1.5666,              0.0014357,              0.0014357,              0.0014357
