                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.73728,                0.66395,                 1.2446,                 0.9007,                0.74058,                0.85832,                 0.6501,                0.96241,                0.75779,                 1.4521,              0.0005348,              0.0005348,              0.0005348
                    151,                0.73827,                0.66479,                 1.2481,                0.85909,                0.76957,                0.85717,                 0.6459,                0.96212,                0.75986,                 1.4569,              0.0005249,              0.0005249,              0.0005249
                    152,                0.72972,                0.65526,                 1.2403,                0.86052,                0.76897,                0.85684,                0.64504,                0.96108,                0.75364,                 1.4579,               0.000515,               0.000515,               0.000515
                    153,                0.72737,                0.64973,                 1.2475,                0.89807,                0.74928,                0.85401,                0.64725,                0.95945,                0.76641,                 1.4539,              0.0005051,              0.0005051,              0.0005051
                    154,                0.71828,                0.64757,                  1.237,                0.87217,                0.74928,                0.85445,                0.64754,                0.95855,                0.76839,                 1.4501,              0.0004952,              0.0004952,              0.0004952
                    155,                0.71563,                0.64926,                 1.2357,                0.88282,                0.75341,                0.85852,                0.65131,                0.95322,                0.76342,                 1.4535,              0.0004853,              0.0004853,              0.0004853
                    156,                 0.6945,                0.62204,                 1.2195,                0.88486,                0.74348,                0.85557,                0.64841,                0.96425,                 0.7644,                 1.4625,              0.0004754,              0.0004754,              0.0004754
                    157,                0.71747,                0.64476,                 1.2357,                  0.858,                0.77061,                0.85894,                0.64794,                0.95694,                0.75916,                 1.4484,              0.0004655,              0.0004655,              0.0004655
                    158,                0.71367,                0.64039,                 1.2231,                0.87499,                0.77098,                0.85763,                0.65321,                0.95073,                0.76269,                 1.4379,              0.0004556,              0.0004556,              0.0004556
                    159,                 0.7036,                0.63144,                  1.227,                0.90371,                0.73449,                0.85756,                0.65342,                0.94921,                0.75556,                 1.4421,              0.0004457,              0.0004457,              0.0004457
                    160,                0.72484,                0.65371,                 1.2465,                0.89387,                 0.7568,                0.85994,                0.65085,                0.96577,                0.75486,                 1.4591,              0.0004358,              0.0004358,              0.0004358
                    161,                0.70253,                0.63746,                 1.2322,                0.86227,                0.77391,                0.85957,                0.65087,                0.96875,                0.75806,                 1.4556,              0.0004259,              0.0004259,              0.0004259
                    162,                0.71224,                0.64586,                 1.2285,                0.86884,                0.77536,                0.85973,                0.65242,                0.96249,                0.76309,                  1.456,               0.000416,               0.000416,               0.000416
                    163,                0.69777,                0.62427,                 1.2279,                0.91197,                0.75068,                0.86194,                0.65249,                0.96069,                 0.7509,                 1.4575,              0.0004061,              0.0004061,              0.0004061
                    164,                0.71484,                0.63235,                 1.2321,                0.91777,                0.74493,                0.86653,                0.65515,                0.96136,                 0.7344,                 1.4569,              0.0003962,              0.0003962,              0.0003962
                    165,                0.70434,                 0.6317,                 1.2271,                 0.8726,                 0.7842,                0.87111,                 0.6616,                0.94791,                0.72244,                 1.4423,              0.0003863,              0.0003863,              0.0003863
                    166,                0.70276,                0.61689,                 1.2143,                0.90049,                0.75797,                0.86751,                0.65736,                0.94186,                0.73158,                 1.4383,              0.0003764,              0.0003764,              0.0003764
                    167,                0.71235,                0.63333,                 1.2218,                0.87604,                0.78116,                0.86069,                0.65838,                 0.9442,                0.73816,                 1.4373,              0.0003665,              0.0003665,              0.0003665
                    168,                0.70392,                0.62106,                 1.2205,                0.88099,                0.78319,                0.86719,                0.65903,                0.94704,                0.73202,                 1.4353,              0.0003566,              0.0003566,              0.0003566
                    169,                0.71368,                0.63585,                 1.2297,                0.84355,                0.79706,                0.86063,                0.65421,                0.94449,                0.73818,                 1.4309,              0.0003467,              0.0003467,              0.0003467
                    170,                 0.6897,                0.61285,                  1.213,                0.86968,                0.78261,                0.86452,                0.65609,                0.94332,                0.73059,                 1.4366,              0.0003368,              0.0003368,              0.0003368
                    171,                0.69941,                  0.616,                 1.2157,                0.88986,                0.77681,                0.86761,                0.65749,                0.95112,                0.72677,                 1.4447,              0.0003269,              0.0003269,              0.0003269
                    172,                0.69063,                0.61373,                 1.2171,                0.89053,                0.77536,                0.86603,                0.65778,                0.94508,                0.73193,                 1.4366,               0.000317,               0.000317,               0.000317
                    173,                 0.6903,                0.60378,                 1.2104,                0.89867,                0.76667,                0.86524,                0.65843,                0.94544,                0.73128,                 1.4371,              0.0003071,              0.0003071,              0.0003071
                    174,                0.69717,                0.61409,                 1.2129,                0.90531,                0.75362,                0.86123,                0.65411,                0.96466,                0.74423,                 1.4502,              0.0002972,              0.0002972,              0.0002972
                    175,                0.69335,                0.61912,                  1.211,                0.89154,                0.77391,                0.86479,                 0.6604,                0.94698,                0.74127,                 1.4351,              0.0002873,              0.0002873,              0.0002873
                    176,                0.70457,                 0.6125,                   1.22,                0.91327,                0.76309,                0.86594,                0.65983,                0.94353,                0.74388,                 1.4328,              0.0002774,              0.0002774,              0.0002774
                    177,                0.68142,                 0.5927,                 1.2074,                0.88674,                0.78295,                0.86919,                0.65775,                0.94269,                0.73161,                 1.4354,              0.0002675,              0.0002675,              0.0002675
                    178,                0.68385,                0.60186,                 1.2051,                0.89119,                0.78343,                0.86742,                0.65617,                0.94943,                0.73274,                 1.4421,              0.0002576,              0.0002576,              0.0002576
                    179,                0.67455,                0.60946,                 1.2046,                0.90395,                0.77246,                0.87052,                0.66218,                0.95117,                0.73879,                  1.442,              0.0002477,              0.0002477,              0.0002477
                    180,                0.69781,                0.60763,                 1.2159,                0.89038,                0.77696,                0.86813,                 0.6571,                0.95688,                0.74499,                 1.4511,              0.0002378,              0.0002378,              0.0002378
                    181,                0.68335,                0.59932,                 1.2085,                0.91772,                0.75969,                0.86772,                0.65558,                0.95085,                0.73093,                 1.4453,              0.0002279,              0.0002279,              0.0002279
                    182,                0.68556,                0.60185,                 1.2062,                0.90552,                0.76377,                0.86255,                0.65546,                0.95007,                0.73825,                 1.4426,               0.000218,               0.000218,               0.000218
                    183,                0.68388,                0.60096,                 1.2067,                0.92111,                0.76142,                0.86175,                 0.6577,                0.94681,                0.73905,                   1.44,              0.0002081,              0.0002081,              0.0002081
                    184,                0.66984,                0.58785,                 1.1985,                0.89351,                0.77101,                0.86004,                0.65603,                0.95072,                0.74191,                 1.4456,              0.0001982,              0.0001982,              0.0001982
                    185,                0.67381,                0.58199,                 1.2007,                0.89782,                0.77101,                0.86367,                0.65715,                0.94611,                0.74069,                  1.443,              0.0001883,              0.0001883,              0.0001883
                    186,                0.68113,                0.58539,                 1.2084,                0.92814,                0.74876,                0.86052,                0.65773,                0.93946,                0.74123,                 1.4354,              0.0001784,              0.0001784,              0.0001784
                    187,                0.67929,                0.59902,                 1.2025,                0.91487,                0.76315,                0.86511,                0.65819,                0.93655,                 0.7386,                 1.4327,              0.0001685,              0.0001685,              0.0001685
                    188,                 0.6789,                0.59128,                 1.2057,                0.90965,                0.77336,                0.86574,                0.65847,                0.93965,                0.73232,                 1.4361,              0.0001586,              0.0001586,              0.0001586
                    189,                0.67389,                0.59801,                 1.2005,                0.90011,                0.76667,                0.86346,                0.65809,                0.94139,                0.73494,                 1.4383,              0.0001487,              0.0001487,              0.0001487
                    190,                0.66818,                0.58009,                 1.1958,                 0.9281,                0.73913,                0.86289,                 0.6582,                0.94541,                0.73936,                 1.4401,              0.0001388,              0.0001388,              0.0001388
                    191,                0.56698,                0.44502,                 1.1386,                0.91325,                0.76282,                0.86369,                0.65354,                0.94991,                0.74289,                  1.449,              0.0001289,              0.0001289,              0.0001289
                    192,                0.55081,                0.41805,                 1.1234,                0.92322,                0.74638,                 0.8604,                0.65552,                0.95174,                0.74202,                 1.4531,               0.000119,               0.000119,               0.000119
                    193,                 0.5548,                0.40939,                 1.1197,                0.92106,                0.74407,                0.85997,                 0.6543,                0.95414,                0.73717,                 1.4545,              0.0001091,              0.0001091,              0.0001091
                    194,                0.55245,                0.40752,                 1.1207,                0.91724,                0.75362,                0.86228,                0.65748,                0.95381,                0.73474,                 1.4537,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.54845,                0.40014,                 1.1232,                 0.9267,                0.75127,                0.86307,                0.65797,                0.94735,                0.72787,                 1.4495,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.55973,                0.39605,                 1.1258,                0.93357,                0.75217,                0.86353,                0.65931,                0.94486,                0.72897,                 1.4449,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.55155,                 0.3938,                 1.1149,                0.93427,                0.75507,                0.86139,                0.65893,                0.94786,                0.72918,                 1.4499,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.55196,                0.39162,                 1.1221,                0.93027,                0.75401,                 0.8634,                0.66155,                0.94366,                0.72877,                 1.4471,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.54838,                0.40137,                 1.1217,                 0.9287,                0.75362,                0.86232,                 0.6611,                0.94379,                0.73035,                 1.4465,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.54639,                0.38365,                 1.1159,                0.92196,                0.75335,                0.86248,                0.66031,                0.94374,                0.73077,                 1.4458,               3.98e-05,               3.98e-05,               3.98e-05
